Exchange,Symbol,AverageDividend,AverageClosingPrice,AverageVolume
NYSE,CHD,0.115,54.775,"615,769.188"
NYSE,CVC,0.100,19.847,"1,957,323.875"
NYSE,CIR,0.038,25.165,"157,283.734"
NYSE,CR,0.200,22.858,"390,638.281"
NYSE,CWF,0.034,3.288,"47,282.539"
NYSE,CEE,0.651,24.325,"70,833.336"
NYSE,CNP,0.190,11.901,"4,087,864.000"
NYSE,CUB,0.090,34.067,"169,918.656"
NYSE,CRR,0.175,43.062,"499,711.500"
NYSE,CTL,0.700,30.649,"2,670,566.750"
NYSE,COV,0.165,38.428,"3,982,010.250"
NYSE,CHU,0.293,12.551,"2,366,170.250"
NYSE,CBS,0.050,8.829,"11,604,753.000"
NYSE,CYS,0.450,13.327,"147,146.766"
NYSE,CPV,0.422,17.357,"55,956.746"
NYSE,CRP,0.494,22.008,"193,075.797"
NYSE,CSP,0.065,8.534,"48,842.062"
NYSE,CE,0.040,21.523,"2,182,927.000"
NYSE,CHN,0.209,21.153,"131,130.562"
NYSE,CWT,0.295,38.380,"149,082.547"
NYSE,COO,0.030,27.249,"659,180.562"
NYSE,CBD,0.157,43.881,"271,269.969"
NYSE,CAE,0.027,6.953,"28,184.920"
NYSE,CMK,0.040,7.453,"21,411.508"
NYSE,CHE,0.090,42.141,"190,692.859"
NYSE,CCU,0.746,33.025,"44,628.570"
